Step,MSE,RMSE,MAE,RÂ²,Mean Error,Std Error
1,0.09797896,0.3130159,0.30576873,0.955916166305542,0.30576873,0.06696598
2,0.01642324,0.12815319,0.10808574,0.9925171732902527,0.105035946,0.07342132
3,0.016762292,0.12946928,0.10952657,0.9922711253166199,0.10723571,0.07254513
4,0.020448465,0.14299813,0.1239137,0.9904648661613464,0.12133296,0.07567547
5,0.02651345,0.16282952,0.14468546,0.9874880313873291,0.14181094,0.08001944
6,0.033243567,0.18232818,0.16470617,0.9841114282608032,0.16458838,0.07844892
7,0.041314334,0.20325927,0.18677855,0.9800154566764832,0.18616383,0.081592694
8,0.04974101,0.22302693,0.20715679,0.9756540656089783,0.20715679,0.082626104
9,0.059975386,0.24489872,0.22972688,0.9702741503715515,0.22972688,0.084858365
10,0.07233366,0.26894918,0.25370917,0.9636676907539368,0.25370917,0.08924863
11,0.08295447,0.28801817,0.27422267,0.9578041434288025,0.27422267,0.088070296
12,0.0876053,0.2959819,0.28354266,0.9548376202583313,0.28354266,0.08490496
